Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
623b6d174f52f45750159ef7,5e777ef9d887bf000b4d8470,APPROVED,2022-03-23T18:55:19.385000Z,2022-03-23T19:18:28.037000Z,2022-03-23T19:50:45.993000Z,,1389,52BD9173,240,"English, Slovenian",23,Female,White,Slovenia,Slovenia,Slovenia,Slovenian,Yes,Unemployed (and job seeking)
623b6d18f028038de1bb78ba,5cac92025a86f00001287e80,APPROVED,2022-03-23T18:55:28.193000Z,2022-03-23T19:20:13.237000Z,2022-03-23T19:50:41.117000Z,,1486,52BD9173,141,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
623b6d19e7fc31fdfa682219,6144dd4a748124e9aa5f9b86,APPROVED,2022-03-23T18:55:50.412000Z,2022-03-23T20:12:47.469000Z,2022-03-24T12:51:08.629000Z,,4618,NOCODE,79,"Afrikaans, English",24,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
623b6d1a2e9ff341c88477c1,5ccf6e4c222373001912f644,APPROVED,2022-03-23T18:55:37.347000Z,2022-03-23T19:17:36.708000Z,2022-03-23T19:50:35.557000Z,,1320,52BD9173,223,"Polish, English",22,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Other
623b6d1f0490639254e02292,60897f1469ae6000c3d7c537,APPROVED,2022-03-23T18:55:27.907000Z,2022-03-23T19:13:32.535000Z,2022-03-23T19:50:41.696000Z,,1085,52BD9173,120,"English, Portuguese",25,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
623b6d205fe0752019e60aba,5f6dd2cb865541268cf751dd,APPROVED,2022-03-23T18:55:33.264000Z,2022-03-23T19:24:26.314000Z,2022-03-23T19:50:37.147000Z,,1734,52BD9173,119,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
623b6d220889aa86c92259c9,5e418dbae4b4a8029d728dbc,APPROVED,2022-03-23T18:55:30.660000Z,2022-03-23T19:22:52.901000Z,2022-03-23T19:50:39.788000Z,,1643,52BD9173,161,"English, Greek",23,Male,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
623b6d23b849a4fc9d0df32e,6017cd1b52fa5ea51b9252f4,APPROVED,2022-03-23T18:55:39.147000Z,2022-03-23T19:18:41.533000Z,2022-03-23T19:50:34.447000Z,,1383,52BD9173,168,"Polish, English",20,Female,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Polish,DATA_EXPIRED,DATA_EXPIRED
623b6d2408df470174a4fa59,610927f79a048a78d5651510,APPROVED,2022-03-23T18:55:51.410000Z,2022-03-23T19:18:12.367000Z,2022-03-23T19:50:30.606000Z,,1341,52BD9173,95,English,20,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
623b6d25ce0bf2cb15a33a85,615ddb0c6adce920fbb53a2d,APPROVED,2022-03-23T18:55:33.218000Z,2022-03-23T19:26:32.430000Z,2022-03-23T19:50:37.877000Z,,1860,52BD9173,230,"English, Spanish",26,Male,Other,Mexico,Mexico,Mexico,Spanish,No,Full-Time
